Sensor_ID,Timestamp,Temperature_C,Humidity_pct,Status,Location,Extra_1,Extra_2
SEN9388,2025-08-23 06:52:53,45.46,59.98,ERROR,Plant C,second,though
SEN8394,2025-03-10 08:32:13,14.28,,ERROR,Plant B,power,few
SEN7715,2024-11-29 11:26:08,,38.78,OK,Plant C,five,cell
SEN2462,2025-06-25 12:27:20,49.0,37.8,WARN,Plant B,analysis,position
SEN9519,2024-11-12 00:44:09,,30.93,WARN,Plant B,game,total
SEN4746,2025-07-01 19:07:32,45.74,40.84,OK,Warehouse 1,behind,environment
SEN1635,2025-08-13 17:34:46,12.15,58.06,WARN,Plant A,decade,its
SEN1201,2025-08-05 00:12:37,32.0,68.45,ERROR,Plant A,according,full
SEN3460,2025-01-29 12:42:58,48.84,51.55,ERROR,Plant A,alone,much
SEN1100,2025-01-21 21:51:52,,21.47,OK,Plant B,hand,general
SEN6001,2025-10-21 19:08:32,17.81,27.22,ERROR,Warehouse 1,foot,trial
SEN6111,2025-07-13 21:20:51,34.0,63.89,OK,Plant C,before,ahead
SEN5708,2025-01-29 23:33:51,25.34,81.72,ERROR,Plant A,decide,ago
SEN7509,2025-06-15 22:10:35,13.89,36.38,OK,Warehouse 1,mother,put
SEN8271,2025-06-11 07:37:10,38.77,84.14,OK,Plant B,kid,of
SEN7432,2024-11-13 08:02:09,29.67,,WARN,Plant A,college,from
SEN9158,2024-12-17 21:48:45,35.95,93.13,WARN,Plant C,history,sure
SEN6361,2025-09-09 12:22:17,36.31,39.11,WARN,Plant C,culture,wife
SEN2679,2025-03-03 13:37:46,19.84,89.03,WARN,Plant B,couple,project
SEN2976,2025-08-28 19:31:17,19.4,,OK,Warehouse 1,senior,policy
SEN4441,2025-04-04 19:49:35,5.55,67.37,WARN,Warehouse 1,style,wife
SEN7021,2025-03-30 02:40:31,33.3,85.39,ERROR,Warehouse 1,part,safe
SEN1844,2025-02-03 22:55:13,12.37,46.75,WARN,Plant B,measure,like
SEN5396,2025-08-14 04:02:19,22.63,52.83,ERROR,Plant B,it,despite
SEN7335,2024-11-19 20:16:22,19.77,50.83,ERROR,Plant A,sing,way
SEN3793,2025-09-15 14:31:28,35.21,48.76,ERROR,Plant B,voice,item
SEN1155,2025-04-25 15:59:26,18.29,42.86,ERROR,Warehouse 1,its,stop
SEN1342,2025-05-09 19:05:23,39.28,77.42,ERROR,Plant C,indeed,brother
SEN1243,2025-04-28 10:04:15,25.73,60.26,OK,Warehouse 1,per,magazine
SEN1064,2024-11-12 04:13:41,36.0,14.18,OK,Plant B,system,modern
SEN4070,2025-09-23 07:58:08,-0.91,61.05,ERROR,Plant A,drug,anyone
SEN7260,2025-03-16 20:55:26,43.32,39.95,OK,Warehouse 1,agency,defense
SEN4112,2024-12-06 20:08:28,23.37,70.09,ERROR,Warehouse 1,stuff,green
SEN2917,2025-02-12 13:35:05,11.72,18.83,WARN,Plant A,cost,project
SEN8086,2024-11-30 13:19:19,6.5,11.49,OK,Plant A,Mr,bag
SEN5347,2025-06-11 19:53:37,0.17,31.02,OK,Plant C,our,film
SEN4528,2025-10-19 17:35:29,28.18,45.01,WARN,Plant C,floor,career
SEN3782,2025-03-26 05:06:03,36.39,,WARN,Plant C,big,two
SEN1326,2024-12-23 16:52:12,6.63,12.31,OK,Plant C,environmental,least
SEN8570,2025-06-26 03:40:57,6.12,77.68,ERROR,Plant B,protect,serious
SEN4781,2025-08-03 16:26:24,3.51,20.86,OK,Plant C,staff,lawyer
SEN2988,2025-01-30 03:18:28,0.98,74.34,OK,Plant A,beat,cut
SEN7297,2025-04-03 13:14:59,1.59,36.06,OK,Warehouse 1,social,true
SEN3243,2025-03-18 05:42:54,32.4,60.46,ERROR,Plant A,director,see
SEN3029,2025-04-05 20:43:21,-7.29,85.23,WARN,Warehouse 1,tonight,time
SEN7450,2025-02-16 14:24:46,,82.9,WARN,Plant B,require,American
SEN7086,2025-02-16 23:52:46,33.29,38.25,ERROR,Plant A,agreement,ability
SEN1652,2025-09-03 20:04:58,12.43,52.81,ERROR,Warehouse 1,choice,tend
SEN5764,2024-11-15 14:07:22,22.79,93.38,WARN,Plant B,today,water
SEN9887,2025-01-07 06:42:21,15.66,16.87,WARN,Plant A,more,much
SEN3348,2025-04-26 11:45:58,18.68,20.71,ERROR,Warehouse 1,southern,prove
SEN8611,2025-10-20 00:34:36,36.96,67.51,WARN,Plant C,measure,action
SEN8545,2024-12-09 06:53:14,3.49,22.62,WARN,Plant B,or,deep
SEN1741,2025-06-11 04:45:41,15.86,89.46,WARN,Plant C,year,wrong
SEN1981,2025-05-28 02:02:11,40.62,94.9,WARN,Plant A,left,computer
SEN8979,2024-11-11 03:14:39,42.7,51.83,WARN,Plant B,coach,common
SEN5129,2024-11-26 03:40:03,17.0,57.44,WARN,Plant A,mission,represent
SEN8942,2025-09-15 15:01:45,43.33,67.79,OK,Plant B,mind,suddenly
SEN4107,2025-03-30 19:38:21,31.0,,WARN,Plant A,write,edge
SEN2449,2025-05-25 00:39:05,,19.33,WARN,Warehouse 1,edge,voice
SEN2407,2025-01-05 06:15:29,,32.26,OK,Plant C,very,everybody
SEN7973,2025-02-24 18:47:33,-4.23,98.01,WARN,Warehouse 1,month,skill
SEN9797,2025-04-22 08:20:16,-9.08,50.93,OK,Plant B,office,score
SEN3790,2025-09-25 05:14:31,,47.13,WARN,Plant A,home,thus
SEN4669,2025-03-09 09:10:31,44.22,82.73,ERROR,Warehouse 1,cold,laugh
SEN3108,2025-09-02 18:25:10,6.44,29.78,OK,Warehouse 1,since,certain
SEN4743,2025-04-19 01:17:01,48.87,,OK,Warehouse 1,true,bed
SEN9497,2025-08-28 15:50:49,16.73,,ERROR,Warehouse 1,around,city
SEN4165,2024-11-02 13:34:41,7.68,50.11,OK,Plant A,either,woman
SEN8256,2024-12-09 14:57:31,-8.07,17.06,WARN,Warehouse 1,smile,church
SEN9116,2024-12-23 13:04:44,36.85,63.73,ERROR,Warehouse 1,expert,product
SEN8805,2025-08-30 10:45:13,-6.03,,ERROR,Warehouse 1,stand,small
SEN7333,2025-09-26 03:21:07,19.59,36.89,ERROR,Warehouse 1,discuss,rather
SEN6440,2025-04-08 20:35:41,-2.5,21.96,OK,Warehouse 1,happen,might
SEN5910,2025-04-11 11:26:36,,55.89,WARN,Plant C,century,my
SEN4533,2025-06-18 07:18:08,6.55,86.03,ERROR,Plant A,nearly,own
SEN6343,2025-09-01 23:19:21,20.94,27.74,WARN,Warehouse 1,treatment,could
